elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,applied_paper_steering,entry_center_angle_deg,realigning_after_dropout,prealign_near_seen,prealign_ready_scans,pair_hold_scans,center_observation_scans,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000008,1785216375.693741083,idle,0,0,-29,press_SPACE_to_start,81,81,57,23,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.192593,1785216375.919814825,idle,0,0,-29,press_SPACE_to_start,78,78,55,23,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.283456,1785216376.029948950,idle,0,0,-29,press_SPACE_to_start,79,79,56,23,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.368056,1785216376.141420126,idle,0,0,-29,press_SPACE_to_start,81,81,56,25,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.453385,1785216376.141420126,idle,0,0,-29,press_SPACE_to_start,81,81,56,25,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.503880,1785216376.253839970,idle,0,0,-29,press_SPACE_to_start,81,81,56,24,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.589690,1785216376.364326000,idle,0,0,-29,press_SPACE_to_start,81,81,58,23,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.676495,1785216376.364326000,idle,0,0,-29,press_SPACE_to_start,81,81,58,23,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.767431,1785216376.479028940,idle,0,0,-29,press_SPACE_to_start,80,80,57,23,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.846895,1785216376.590056896,search_first_car,50,-29,-29,paper_search_first_vehicle,78,78,56,22,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.931899,1785216376.701893091,search_first_car,50,-29,-29,paper_search_first_vehicle,78,78,57,21,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
1.018515,1785216376.701893091,search_first_car,50,-29,-29,paper_search_first_vehicle,78,78,57,21,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
1.105086,1785216376.813210964,search_first_car,50,-29,-29,paper_search_first_vehicle,77,77,57,20,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
1.190305,1785216376.927807093,search_first_car,50,-29,-29,paper_search_first_vehicle,79,79,55,24,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
