elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,realigning_after_dropout,prealign_near_seen,prealign_ready_scans,pair_hold_scans,center_observation_scans,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000007,1785215902.413424015,idle,0,0,-29,press_SPACE_to_start,82,82,56,26,1,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.181322,1785215902.635421991,idle,0,0,-29,press_SPACE_to_start,85,85,57,28,1,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.278385,1785215902.750105143,idle,0,0,-29,press_SPACE_to_start,83,83,57,26,1,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.364511,1785215902.750105143,idle,0,0,-29,press_SPACE_to_start,83,83,57,26,1,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.450865,1785215902.861375093,idle,0,0,-29,press_SPACE_to_start,83,83,57,26,1,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.501305,1785215902.972483158,idle,0,0,-29,press_SPACE_to_start,80,80,57,23,1,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.586128,1785215902.972483158,idle,0,0,-29,press_SPACE_to_start,80,80,57,23,1,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.671496,1785215903.084186792,idle,0,0,-29,press_SPACE_to_start,82,82,57,25,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.753261,1785215903.195523977,search_first_car,50,-29,-29,paper_search_first_vehicle,81,81,56,25,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.840710,1785215903.310482025,search_first_car,50,-29,-29,paper_search_first_vehicle,86,86,59,27,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.927137,1785215903.310482025,search_first_car,50,-29,-29,paper_search_first_vehicle,86,86,59,27,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.013200,1785215903.421118021,search_first_car,50,-29,-29,paper_search_first_vehicle,79,79,52,27,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.099378,1785215903.532916069,search_first_car,50,-29,-29,paper_search_first_vehicle,80,80,57,23,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.186538,1785215903.643790007,search_first_car,50,-29,-29,paper_search_first_vehicle,80,80,57,23,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.278097,1785215903.758850098,search_first_car,50,-29,-29,paper_search_first_vehicle,80,80,59,20,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.365109,1785215903.758850098,search_first_car,50,-29,-29,paper_search_first_vehicle,80,80,59,20,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.451724,1785215903.870853186,search_first_car,50,-29,-29,paper_search_first_vehicle,79,79,57,22,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.539004,1785215903.982142925,search_first_car,50,-29,-29,paper_search_first_vehicle,72,72,52,20,0,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.625689,1785215904.093163013,search_first_car,50,-29,-29,paper_search_first_vehicle,77,77,54,23,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.711383,1785215904.093163013,search_first_car,50,-29,-29,paper_search_first_vehicle,77,77,54,23,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.804461,1785215904.204528809,search_first_car,50,-29,-29,paper_search_first_vehicle,77,77,56,21,0,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.889669,1785215904.319231987,search_first_car,50,-29,-29,paper_search_first_vehicle,79,79,56,23,0,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.976680,1785215904.430294037,search_first_car,50,-29,-29,paper_search_first_vehicle,76,76,53,23,0,0,0,0,0,0,0,12,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.064195,1785215904.541168213,search_first_car,50,-29,-29,paper_search_first_vehicle,69,69,48,21,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.151884,1785215904.541168213,search_first_car,50,-29,-29,paper_search_first_vehicle,69,69,48,21,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.238704,1785215904.652742863,search_first_car,50,-29,-29,paper_search_first_vehicle,68,68,47,21,0,0,0,0,0,0,0,14,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.330051,1785215904.767899990,search_first_car,50,-29,-29,paper_search_first_vehicle,68,68,45,23,0,0,0,0,0,0,0,15,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.415648,1785215904.879391909,search_first_car,50,-29,-29,paper_search_first_vehicle,69,69,46,23,0,0,0,0,0,0,0,16,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.503846,1785215904.879391909,search_first_car,50,-29,-29,paper_search_first_vehicle,69,69,46,23,0,0,0,0,0,0,0,16,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.591689,1785215904.990458012,search_first_car,50,-29,-29,paper_search_first_vehicle,64,64,42,22,0,0,0,0,0,0,0,17,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.678173,1785215905.101526976,search_first_car,50,-29,-29,paper_search_first_vehicle,61,61,38,23,0,0,0,0,0,0,0,18,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.765462,1785215905.215759039,search_first_car,50,-29,-29,paper_search_first_vehicle,61,61,39,22,0,0,0,0,0,0,0,19,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.856581,1785215905.327476978,search_first_car,50,-29,-29,paper_search_first_vehicle,60,60,36,24,0,0,0,0,0,0,0,20,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.943560,1785215905.327476978,search_first_car,50,-29,-29,paper_search_first_vehicle,60,60,36,24,0,0,0,0,0,0,0,20,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
3.029732,1785215905.439615965,search_first_car,50,-29,-29,paper_search_first_vehicle,59,59,39,20,0,0,0,0,0,0,0,21,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
3.117343,1785215905.551050901,search_first_car,50,-29,-29,paper_search_first_vehicle,64,64,41,23,0,0,0,0,0,0,0,22,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
