elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,valid_points,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000004,1785209998.990814924,idle,0,0,-25,press_SPACE_to_start,72,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
0.164345,1785209999.101855040,idle,0,0,-25,press_SPACE_to_start,74,0,0,0,0,0,2,0,0,2,0,,,,,,,,,,,,
0.257483,1785209999.216197968,idle,0,0,-25,press_SPACE_to_start,74,0,0,0,0,0,3,0,0,3,0,,,,,,,,,,,,
0.344196,1785209999.327198029,idle,0,0,-25,press_SPACE_to_start,71,0,0,0,0,0,4,0,0,4,0,,,,,,,,,,,,
0.431083,1785209999.327198029,idle,0,0,-25,press_SPACE_to_start,71,0,0,0,0,0,4,0,0,4,0,,,,,,,,,,,,
0.483167,1785209999.442191839,idle,0,0,-25,press_SPACE_to_start,70,0,0,0,0,0,5,0,0,5,0,,,,,,,,,,,,
0.568835,1785209999.553212881,idle,0,0,-25,press_SPACE_to_start,70,0,0,0,0,0,6,0,0,5,0,,,,,,,,,,,,
0.656124,1785209999.553212881,idle,0,0,-25,press_SPACE_to_start,70,0,0,0,0,0,6,0,0,5,0,,,,,,,,,,,,
0.748035,1785209999.664850950,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,7,0,0,5,0,,,,,,,,,,,,
0.835753,1785209999.779474020,idle,0,0,-25,press_SPACE_to_start,74,0,0,0,0,0,8,0,0,5,0,,,,,,,,,,,,
0.923375,1785209999.890387058,idle,0,0,-25,press_SPACE_to_start,75,0,0,0,0,0,9,0,0,5,0,,,,,,,,,,,,
1.012226,1785210000.002257824,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,10,0,0,5,0,,,,,,,,,,,,
1.093591,1785210000.002257824,search_first_car,50,-25,-25,paper_search_first_vehicle,73,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
1.180649,1785210000.117171049,search_first_car,50,-25,-25,paper_search_first_vehicle,72,0,0,0,0,0,2,0,0,2,0,,,,,,,,,,,,
1.272829,1785210000.228933096,search_first_car,50,-25,-25,paper_search_first_vehicle,76,0,0,0,0,0,3,0,0,3,0,,,,,,,,,,,,
1.360258,1785210000.338987112,search_first_car,50,-25,-25,paper_search_first_vehicle,74,0,0,0,0,0,4,0,0,4,0,,,,,,,,,,,,
1.446204,1785210000.338987112,search_first_car,50,-25,-25,paper_search_first_vehicle,74,0,0,0,0,0,4,0,0,4,0,,,,,,,,,,,,
1.533267,1785210000.454559088,search_first_car,50,-25,-25,paper_search_first_vehicle,72,0,0,0,0,0,5,0,0,5,0,,,,,,,,,,,,
1.622156,1785210000.565436840,search_first_car,50,-25,-25,paper_search_first_vehicle,76,0,0,0,0,0,6,0,0,5,0,,,,,,,,,,,,
1.710705,1785210000.680277109,search_first_car,50,-25,-25,paper_search_first_vehicle,74,0,0,0,0,0,7,0,0,5,0,,,,,,,,,,,,
1.803479,1785210000.791307926,search_first_car,50,-25,-25,paper_search_first_vehicle,73,0,0,0,0,0,8,0,0,5,0,,,,,,,,,,,,
1.891422,1785210000.791307926,search_first_car,50,-25,-25,paper_search_first_vehicle,73,0,0,0,0,0,8,0,0,5,0,,,,,,,,,,,,
1.980090,1785210000.902498007,search_first_car,50,-25,-25,paper_search_first_vehicle,74,0,0,0,0,0,9,0,0,5,0,,,,,,,,,,,,
2.067668,1785210001.018357992,search_first_car,50,-25,-25,paper_search_first_vehicle,73,0,0,0,0,0,10,0,0,5,0,,,,,,,,,,,,
2.155959,1785210001.128944159,search_first_car,50,-25,-25,paper_search_first_vehicle,76,0,0,0,0,0,11,0,0,5,0,,,,,,,,,,,,
2.245122,1785210001.128944159,search_first_car,50,-25,-25,paper_search_first_vehicle,76,0,0,0,0,0,11,0,0,5,0,,,,,,,,,,,,
2.338274,1785210001.240823030,search_first_car,50,-25,-25,paper_search_first_vehicle,72,0,0,0,0,0,12,0,0,5,0,,,,,,,,,,,,
2.426181,1785210001.355404139,search_first_car,50,-25,-25,paper_search_first_vehicle,74,0,0,0,0,0,13,0,0,5,0,,,,,,,,,,,,
2.514327,1785210001.466006041,search_first_car,50,-25,-25,paper_search_first_vehicle,79,0,0,0,0,0,14,0,0,5,0,,,,,,,,,,,,
2.602436,1785210001.580904007,search_first_car,50,-25,-25,paper_search_first_vehicle,75,0,0,0,0,0,15,0,0,5,0,,,,,,,,,,,,
2.690295,1785210001.580904007,search_first_car,50,-25,-25,paper_search_first_vehicle,75,0,0,0,0,0,15,0,0,5,0,,,,,,,,,,,,
2.779087,1785210001.692244053,search_first_car,50,-25,-25,paper_search_first_vehicle,74,0,0,0,0,0,16,0,0,5,0,,,,,,,,,,,,
2.872089,1785210001.803995848,search_first_car,50,-25,-25,paper_search_first_vehicle,75,0,0,0,0,0,17,0,0,5,0,,,,,,,,,,,,
2.960228,1785210001.917924166,search_first_car,50,-25,-25,paper_search_first_vehicle,74,0,0,0,0,0,18,0,0,5,0,,,,,,,,,,,,
3.049005,1785210002.029993057,search_first_car,50,-25,-25,paper_search_first_vehicle,72,0,0,0,0,0,19,0,0,5,0,,,,,,,,,,,,
3.137494,1785210002.029993057,search_first_car,50,-25,-25,paper_search_first_vehicle,72,0,0,0,0,0,19,0,0,5,0,,,,,,,,,,,,
3.226221,1785210002.140807867,search_first_car,50,-25,-25,paper_search_first_vehicle,75,0,0,0,0,0,20,0,0,5,0,,,,,,,,,,,,
3.315285,1785210002.255532980,search_first_car,50,-25,-25,paper_search_first_vehicle,72,0,0,0,0,0,21,0,0,5,0,,,,,,,,,,,,
3.408528,1785210002.367066860,search_first_car,50,-25,-25,paper_search_first_vehicle,76,0,0,0,0,0,22,0,0,5,0,,,,,,,,,,,,
3.496780,1785210002.482012987,search_first_car,50,-25,-25,paper_search_first_vehicle,73,0,0,0,0,0,23,0,0,5,0,,,,,,,,,,,,
3.585213,1785210002.482012987,search_first_car,50,-25,-25,paper_search_first_vehicle,73,0,0,0,0,0,23,0,0,5,0,,,,,,,,,,,,
3.673858,1785210002.592424870,search_first_car,50,-25,-25,paper_search_first_vehicle,77,0,0,0,0,0,24,0,0,5,0,,,,,,,,,,,,
