elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,valid_points,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_near,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000004,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
0.172246,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
0.267861,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
0.355480,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
0.443087,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
0.496919,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
0.582592,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
0.669558,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
0.759026,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
0.845351,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
0.931842,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
1.017924,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
1.105777,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
1.194307,1785205769.508867979,idle,0,0,-20,press_SPACE_to_start_straight_only,52,0,0,1,6,1,0,0,1,1,-3.859375,76.437500,36.289062,304.250000,1202.250000,,,,,147.750000,1177.500000,
1.287587,1785205770.865252018,idle,0,0,-20,press_SPACE_to_start_straight_only,55,0,1,1,5,2,0,1,1,1,-0.812500,75.078125,37.132812,397.750000,1279.250000,,,,,148.750000,1216.750000,
1.376722,1785205770.977659941,idle,0,0,-20,press_SPACE_to_start_straight_only,38,0,1,1,4,3,0,1,1,1,-42.218750,78.296875,18.039062,1250.750000,1217.750000,,,,,151.250000,1212.250000,
1.465614,1785205770.977659941,idle,0,0,-20,press_SPACE_to_start_straight_only,38,0,1,1,4,3,0,1,1,1,-42.218750,78.296875,18.039062,1250.750000,1217.750000,,,,,151.250000,1212.250000,
