elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,valid_points,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_near,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000005,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.163692,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.259670,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.346299,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.431206,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.482337,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.567225,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.653534,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.744684,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.831265,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.919065,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
1.006183,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
1.093052,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
1.181004,1785205326.433612108,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
1.272648,1785205327.793206930,idle,0,0,-5,press_SPACE_to_start_straight_only,65,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,
1.360501,1785205327.793206930,idle,0,0,-5,press_SPACE_to_start_straight_only,65,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,
1.447218,1785205327.908006907,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,
1.534972,1785205328.019670010,idle,0,0,-5,press_SPACE_to_start_straight_only,61,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,
1.623558,1785205328.134149790,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,5,0,0,0,,,,,,,,,,,,
1.711087,1785205328.245704889,idle,0,0,-5,press_SPACE_to_start_straight_only,60,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,
1.803393,1785205328.245704889,idle,0,0,-5,press_SPACE_to_start_straight_only,60,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,
1.890553,1785205328.359647036,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,7,0,0,0,,,,,,,,,,,,
1.978526,1785205328.474514008,idle,0,0,-5,press_SPACE_to_start_straight_only,62,0,0,0,0,0,8,0,0,0,,,,,,,,,,,,
2.066338,1785205328.585427999,idle,0,0,-5,press_SPACE_to_start_straight_only,60,0,0,0,0,0,9,0,0,0,,,,,,,,,,,,
2.154495,1785205328.585427999,idle,0,0,-5,press_SPACE_to_start_straight_only,60,0,0,0,0,0,9,0,0,0,,,,,,,,,,,,
2.242832,1785205328.700553894,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,10,0,0,0,,,,,,,,,,,,
2.334307,1785205328.815217972,idle,0,0,-5,press_SPACE_to_start_straight_only,62,0,0,0,0,0,11,0,0,0,,,,,,,,,,,,
2.421690,1785205328.926670074,idle,0,0,-5,press_SPACE_to_start_straight_only,62,0,0,0,0,0,12,0,0,0,,,,,,,,,,,,
2.509455,1785205329.040763855,idle,0,0,-5,press_SPACE_to_start_straight_only,60,0,0,0,0,0,13,0,0,0,,,,,,,,,,,,
2.597454,1785205329.040763855,idle,0,0,-5,press_SPACE_to_start_straight_only,60,0,0,0,0,0,13,0,0,0,,,,,,,,,,,,
2.685018,1785205329.156122923,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,14,0,0,0,,,,,,,,,,,,
2.773260,1785205329.267858028,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,15,0,0,0,,,,,,,,,,,,
2.866263,1785205329.382220984,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,16,0,0,0,,,,,,,,,,,,
2.954480,1785205329.382220984,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,16,0,0,0,,,,,,,,,,,,
3.042268,1785205329.496645927,idle,0,0,-5,press_SPACE_to_start_straight_only,61,0,0,0,0,0,17,0,0,0,,,,,,,,,,,,
3.130879,1785205329.607653141,idle,0,0,-5,press_SPACE_to_start_straight_only,64,0,0,0,0,0,18,0,0,0,,,,,,,,,,,,
3.218791,1785205329.722392082,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,19,0,0,0,,,,,,,,,,,,
3.306473,1785205329.837543964,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,20,0,0,0,,,,,,,,,,,,
3.399279,1785205329.837543964,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,20,0,0,0,,,,,,,,,,,,
3.487526,1785205329.948079109,idle,0,0,-5,press_SPACE_to_start_straight_only,68,0,0,0,0,0,21,0,0,0,,,,,,,,,,,,
3.575306,1785205330.063511133,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,22,0,0,0,,,,,,,,,,,,
3.662772,1785205330.177192926,idle,0,0,-5,press_SPACE_to_start_straight_only,59,0,0,0,0,0,23,0,0,0,,,,,,,,,,,,
3.750933,1785205330.288730145,idle,0,0,-5,press_SPACE_to_start_straight_only,65,0,0,0,0,0,24,0,0,0,,,,,,,,,,,,
3.839805,1785205330.288730145,idle,0,0,-5,press_SPACE_to_start_straight_only,65,0,0,0,0,0,24,0,0,0,,,,,,,,,,,,
3.933262,1785205330.403470993,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,25,0,0,0,,,,,,,,,,,,
4.020725,1785205330.518150806,idle,0,0,-5,press_SPACE_to_start_straight_only,67,0,0,0,0,0,26,0,0,0,,,,,,,,,,,,
4.107580,1785205330.629577875,idle,0,0,-5,press_SPACE_to_start_straight_only,64,0,0,0,0,0,27,0,0,0,,,,,,,,,,,,
4.196332,1785205330.629577875,idle,0,0,-5,press_SPACE_to_start_straight_only,64,0,0,0,0,0,27,0,0,0,,,,,,,,,,,,
4.284436,1785205330.743664026,idle,0,0,-5,press_SPACE_to_start_straight_only,62,0,0,0,0,0,28,0,0,0,,,,,,,,,,,,
4.373378,1785205330.858155012,idle,0,0,-5,press_SPACE_to_start_straight_only,64,0,0,0,0,0,29,0,0,0,,,,,,,,,,,,
4.465676,1785205330.970393181,idle,0,0,-5,press_SPACE_to_start_straight_only,69,0,0,0,0,0,30,0,0,0,,,,,,,,,,,,
4.554181,1785205331.084848881,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,31,0,0,0,,,,,,,,,,,,
4.642604,1785205331.084848881,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,31,0,0,0,,,,,,,,,,,,
4.730133,1785205331.198940992,idle,0,0,-5,press_SPACE_to_start_straight_only,63,0,0,0,0,0,32,0,0,0,,,,,,,,,,,,
4.819165,1785205331.310529947,idle,0,0,-5,press_SPACE_to_start_straight_only,60,0,0,0,0,0,33,0,0,0,,,,,,,,,,,,
4.907461,1785205331.424881935,idle,0,0,-5,press_SPACE_to_start_straight_only,61,0,0,0,0,0,34,0,0,0,,,,,,,,,,,,
4.999708,1785205331.536942005,idle,0,0,-5,press_SPACE_to_start_straight_only,64,0,0,0,0,0,35,0,0,0,,,,,,,,,,,,
5.088055,1785205331.536942005,idle,0,0,-5,press_SPACE_to_start_straight_only,64,0,0,0,0,0,35,0,0,0,,,,,,,,,,,,
5.176670,1785205331.651040077,idle,0,0,-5,press_SPACE_to_start_straight_only,61,0,0,0,0,0,36,0,0,0,,,,,,,,,,,,
5.264597,1785205331.766546965,idle,0,0,-5,press_SPACE_to_start_straight_only,61,0,0,0,0,0,37,0,0,0,,,,,,,,,,,,
5.352948,1785205331.877152920,idle,0,0,-5,press_SPACE_to_start_straight_only,65,0,0,0,0,0,38,0,0,0,,,,,,,,,,,,
5.441593,1785205331.877152920,idle,0,0,-5,press_SPACE_to_start_straight_only,65,0,0,0,0,0,38,0,0,0,,,,,,,,,,,,
5.534644,1785205331.992344141,idle,0,0,-5,press_SPACE_to_start_straight_only,66,0,0,0,0,0,39,0,0,0,,,,,,,,,,,,
5.623261,1785205332.103981018,idle,0,0,-5,press_SPACE_to_start_straight_only,60,0,0,0,0,0,40,0,0,0,,,,,,,,,,,,
5.711138,1785205332.218324900,idle,0,0,-5,press_SPACE_to_start_straight_only,65,0,0,0,0,0,41,0,0,0,,,,,,,,,,,,
5.799539,1785205332.332180023,idle,0,0,-5,press_SPACE_to_start_straight_only,62,0,0,0,0,0,42,0,0,0,,,,,,,,,,,,
5.887930,1785205332.332180023,idle,0,0,-5,press_SPACE_to_start_straight_only,62,0,0,0,0,0,42,0,0,0,,,,,,,,,,,,
5.977444,1785205332.444634914,idle,0,0,-5,press_SPACE_to_start_straight_only,62,0,0,0,0,0,43,0,0,0,,,,,,,,,,,,
6.070958,1785205332.558309793,idle,0,0,-5,press_SPACE_to_start_straight_only,60,0,0,0,0,0,44,0,0,0,,,,,,,,,,,,
6.158826,1785205332.673613071,idle,0,0,-5,press_SPACE_to_start_straight_only,59,0,0,0,0,0,45,0,0,0,,,,,,,,,,,,
6.247347,1785205332.784199953,idle,0,0,-5,press_SPACE_to_start_straight_only,64,0,0,0,0,0,46,0,0,0,,,,,,,,,,,,
6.335733,1785205332.784199953,idle,0,0,-5,press_SPACE_to_start_straight_only,64,0,0,0,0,0,46,0,0,0,,,,,,,,,,,,
6.424270,1785205332.899873972,idle,0,0,-5,press_SPACE_to_start_straight_only,67,0,0,0,0,0,47,0,0,0,,,,,,,,,,,,
