elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,valid_points,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_near,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000004,1785205392.744194031,idle,0,0,-15,press_SPACE_to_start_straight_only,58,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
0.165010,1785205392.846313000,idle,0,0,-15,press_SPACE_to_start_straight_only,63,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,
0.260807,1785205392.956918955,idle,0,0,-15,press_SPACE_to_start_straight_only,60,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,
0.346973,1785205393.072287083,idle,0,0,-15,press_SPACE_to_start_straight_only,66,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,
0.434616,1785205393.072287083,idle,0,0,-15,press_SPACE_to_start_straight_only,66,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,
0.487195,1785205393.183387995,idle,0,0,-15,press_SPACE_to_start_straight_only,59,0,0,0,0,0,5,0,0,0,,,,,,,,,,,,
0.571810,1785205393.298496962,idle,0,0,-15,press_SPACE_to_start_straight_only,61,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,
0.658808,1785205393.298496962,idle,0,0,-15,press_SPACE_to_start_straight_only,61,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,
0.750307,1785205393.412428141,idle,0,0,-15,press_SPACE_to_start_straight_only,62,0,0,0,0,0,7,0,0,0,,,,,,,,,,,,
0.837642,1785205393.523769140,idle,0,0,-15,press_SPACE_to_start_straight_only,60,0,0,0,0,0,8,0,0,0,,,,,,,,,,,,
0.925177,1785205393.639036894,idle,0,0,-15,press_SPACE_to_start_straight_only,59,0,0,0,0,0,9,0,0,0,,,,,,,,,,,,
1.011574,1785205393.753062963,idle,0,0,-15,press_SPACE_to_start_straight_only,61,0,0,0,0,0,10,0,0,0,,,,,,,,,,,,
1.100402,1785205393.753062963,idle,0,0,-15,press_SPACE_to_start_straight_only,61,0,0,0,0,0,10,0,0,0,,,,,,,,,,,,
1.188509,1785205393.865101099,idle,0,0,-15,press_SPACE_to_start_straight_only,63,0,0,0,0,0,11,0,0,0,,,,,,,,,,,,
1.281044,1785205393.979077816,idle,0,0,-15,press_SPACE_to_start_straight_only,62,0,0,0,0,0,12,0,0,0,,,,,,,,,,,,
