elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,applied_paper_steering,entry_center_angle_deg,realigning_after_dropout,prealign_near_seen,prealign_ready_scans,pair_hold_scans,center_observation_scans,dist_c_mm,dist_d_mm,distance_bias_cd_mm,cd_balance_ratio,cd_balance_error,cd_balance_span,cd_center_ready_scans,left_side_heading_deg,left_side_line_points,left_side_line_extent_mm,left_side_line_linearity,right_side_heading_deg,right_side_line_points,right_side_line_extent_mm,right_side_line_linearity,observed_slot_heading_deg,filtered_slot_heading_deg,slot_heading_span_deg,parallel_heading_ready_scans,parallel_correction_cycles,parallel_cd_missing_scans,parallel_no_improvement_scans,parallel_best_heading_deg
0.000004,1785219424.547073126,idle,0,0,-29,press_SPACE_to_start,72,72,49,23,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.184832,1785219424.773057938,idle,0,0,-29,press_SPACE_to_start,73,73,50,23,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.277887,1785219424.885048151,idle,0,0,-29,press_SPACE_to_start,68,68,45,23,1,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.367145,1785219424.996659040,idle,0,0,-29,press_SPACE_to_start,74,74,51,23,1,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.455401,1785219424.996659040,idle,0,0,-29,press_SPACE_to_start,74,74,51,23,1,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.505542,1785219425.107475042,idle,0,0,-29,press_SPACE_to_start,72,72,49,23,1,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.595501,1785219425.218437195,idle,0,0,-29,press_SPACE_to_start,74,74,48,26,1,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.686546,1785219425.218437195,idle,0,0,-29,press_SPACE_to_start,74,74,48,26,1,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.781529,1785219425.330934048,idle,0,0,-29,press_SPACE_to_start,72,72,49,23,1,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.871795,1785219425.444346905,idle,0,0,-29,press_SPACE_to_start,72,72,47,25,1,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.961005,1785219425.556908131,idle,0,0,-29,press_SPACE_to_start,68,68,46,22,1,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.051368,1785219425.667732000,idle,0,0,-29,press_SPACE_to_start,69,69,45,24,1,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.141164,1785219425.667732000,idle,0,0,-29,press_SPACE_to_start,69,69,45,24,1,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.232786,1785219425.779201984,idle,0,0,-29,press_SPACE_to_start,73,73,48,25,1,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.328239,1785219425.890830994,idle,0,0,-29,press_SPACE_to_start,75,75,51,24,1,0,0,0,0,0,0,12,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.419302,1785219426.001715899,idle,0,0,-29,press_SPACE_to_start,69,69,45,24,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.508829,1785219426.116331100,idle,0,0,-29,press_SPACE_to_start,72,72,49,23,0,0,0,0,0,0,0,14,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
