elapsed_s,lidar_timestamp,state,reason,speed,steering,pair_valid,car_count,gap_width_mm,car1_x_mm,car1_y_back_mm,car2_x_mm,car2_y_back_mm,entrance_x_mm,entrance_y_back_mm,depth_x,depth_y_back,decision_angle_deg,heading_error_deg,lateral_error_mm,depth_progress_mm,depth_remaining_mm,target_x_mm,target_y_back_mm,curvature_per_mm,geometric_steering,physical_steering,clusters
0.006105,1785156605.846546888,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,13:-2025.6:-962.4:1893.1:2007.8|14:-513.7:372.8:2002.1:2049.1|7:1285.0:2073.8:2061.2:2087.5
0.185034,1785156606.071476936,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,28:-2150.4:-962.4:1889.0:2014.6|25:-520.6:372.8:2002.1:2049.1|16:955.8:2174.1:2058.4:2087.5
0.293444,1785156606.183442831,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,28:-2162.9:-975.8:1889.0:2014.6|20:-520.6:68.0:2010.7:2043.9|19:951.7:2624.7:2039.2:2106.5
0.390400,1785156606.298393011,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,27:-2167.0:-1046.9:1887.9:2000.4|17:-466.9:56.5:2010.4:2034.5|14:947.3:1798.1:2039.2:2068.8|4:2165.4:2455.5:2085.4:2106.5
0.517973,1785156606.409800053,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,28:-2171.1:-1048.7:1884.2:2000.3|19:-470.9:112.3:2010.4:2033.8|15:941.5:1790.3:2039.2:2088.4|4:2149.3:2439.9:2080.1:2104.7
0.623989,1785156606.520783186,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,28:-2177.7:-985.9:1884.2:2013.0|23:-470.9:171.8:2001.6:2033.4|15:941.5:1786.0:2041.2:2088.4|4:2148.4:2439.9:2078.1:2104.7
0.753577,1785156606.635818005,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,28:-2182.7:-985.9:1886.9:2013.0|20:-470.5:171.8:2001.6:2033.1|13:934.6:1786.0:2034.6:2071.1|3:2147.4:2429.7:2078.1:2093.6
0.849022,1785156606.747159958,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,27:-2191.8:-990.6:1884.4:2011.6|15:-422.9:52.7:2006.9:2035.0|17:933.4:2411.6:2034.6:2102.2
0.952057,1785156606.857523918,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,24:-2191.8:-1062.7:1884.4:1990.9|15:-428.5:39.0:2008.1:2035.0|18:933.4:2411.6:2044.9:2102.2
1.088010,1785156606.973230124,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,26:-2103.3:-946.6:1897.6:2025.7|23:-433.5:393.2:2008.1:2058.5|16:1226.4:2258.5:2051.4:2092.3
1.187293,1785156607.083912849,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,29:-2116.5:-946.6:1899.0:2025.7|24:-495.6:393.2:2000.2:2058.5|16:1221.8:2110.0:2054.4:2080.2
1.314151,1785156607.195941210,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,27:-2121.6:-1012.6:1892.5:2006.2|23:-495.6:380.3:2000.2:2049.0|15:1211.8:2097.5:2055.2:2081.8
1.413338,1785156607.309701920,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,28:-2146.4:-961.6:1892.5:2014.5|30:-511.8:380.3:2013.2:2050.5|13:1211.8:1843.1:2061.1:2081.8
