elapsed_s,lidar_timestamp,state,reason,speed,steering,pair_valid,car_count,gap_width_mm,car1_x_mm,car1_y_back_mm,car2_x_mm,car2_y_back_mm,entrance_x_mm,entrance_y_back_mm,depth_x,depth_y_back,decision_angle_deg,heading_error_deg,lateral_error_mm,depth_progress_mm,depth_remaining_mm,target_x_mm,target_y_back_mm,curvature_per_mm,geometric_steering,physical_steering,clusters
0.000928,1785155245.746162891,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.158180,1785155245.903779030,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.185596,1785155245.938597202,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.219486,1785155245.970938206,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.251133,1785155246.004173994,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.281231,1785155246.036919117,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.313485,1785155246.070291042,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.348982,1785155246.104007959,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.380070,1785155246.136183023,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.412401,1785155246.170027971,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.470596,1785155246.267200947,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.545387,1785155246.299913883,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.576415,1785155246.332698107,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.609018,1785155246.366369009,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.644116,1785155246.402105093,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
