elapsed_s,lidar_timestamp,state,reason,speed,steering,pair_valid,car_count,gap_width_mm,car1_x_mm,car1_y_back_mm,car2_x_mm,car2_y_back_mm,entrance_x_mm,entrance_y_back_mm,depth_x,depth_y_back,decision_angle_deg,heading_error_deg,lateral_error_mm,depth_progress_mm,depth_remaining_mm,target_x_mm,target_y_back_mm,curvature_per_mm,geometric_steering,physical_steering,clusters
0.000948,1785155426.545877934,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,7:-894.0:-712.1:456.4:854.8|11:-1170.4:-561.5:1821.6:2151.7|17:506.2:1757.7:2137.0:2171.0
0.162048,1785155426.772474766,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,15:-894.0:-710.5:456.4:864.8|22:-1170.4:-541.9:1817.9:2153.6|39:506.2:2582.3:2137.0:2182.4
0.244464,1785155426.884860992,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,16:-882.0:-707.9:525.1:868.9|20:-1148.6:-541.9:1817.9:2153.6|41:468.5:2588.5:2140.2:2182.4
0.336530,1785155426.998200178,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,12:-809.2:-625.8:584.9:868.9|20:-1136.9:-523.1:1819.3:2160.8|39:468.5:2193.3:2146.4:2180.1
0.490839,1785155427.109673023,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,6:-731.1:-527.6:659.8:816.5|21:-1123.1:-506.9:1819.3:2160.8|38:495.7:2364.5:2146.4:2180.1
0.565019,1785155427.224013090,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,6:-731.1:-438.4:740.5:833.1|16:-1044.7:-506.9:1827.0:2158.1|33:495.7:1757.3:2135.4:2169.3|4:2106.3:2384.2:2173.9:2177.3
0.694467,1785155427.334854841,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,10:-726.1:-391.1:803.2:840.2|11:-891.6:-482.8:2131.0:2163.8|32:521.2:1757.3:2135.4:2168.3|4:2128.3:2384.2:2165.5:2176.5
0.797020,1785155427.446805000,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,12:-717.0:-388.0:820.0:840.6|40:462.1:2584.3:2137.6:2180.9|8:-741.7:-482.8:2140.0:2163.8
0.893109,1785155427.561252117,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,12:-713.6:-388.0:818.0:847.6|3:-2150.9:-2035.1:2026.6:2031.8|7:-796.2:-598.9:2136.6:2155.1|41:462.1:2584.3:2137.6:2180.9
1.031074,1785155427.672151089,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,12:-707.9:-401.8:815.9:864.3|3:-2143.9:-2019.9:2021.4:2033.2|9:-796.2:-529.0:2136.6:2155.1|38:471.7:2174.4:2146.2:2177.6
1.130358,1785155427.784570217,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,11:-678.2:-378.5:815.9:887.6|6:-2126.6:-1798.5:2021.4:2041.8|10:-791.7:-521.3:2137.1:2155.6|40:471.7:2196.0:2147.2:2179.0
1.255640,1785155427.898164988,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,8:-620.2:-376.5:819.0:887.6|12:-2114.4:-1432.9:2023.0:2081.2|10:-782.9:-445.1:2140.0:2166.7|41:482.0:2355.5:2147.2:2179.0
