timestamp,quality,angle_deg,distance_mm
1785142557.704510927,15,354.828125,1040.250
1785142557.704510927,15,5.718750,1990.250
1785142557.704510927,15,7.359375,2041.750
1785142557.704510927,15,9.031250,2074.250
1785142557.704510927,15,21.250000,1027.500
1785142557.704510927,15,22.953125,1010.750
1785142557.704510927,15,24.531250,1002.250
1785142557.704510927,15,26.218750,1004.000
1785142557.704510927,15,46.625000,106.750
1785142557.704510927,15,161.953125,10300.500
1785142557.704510927,7,170.218750,10159.250
1785142557.704510927,7,173.546875,10137.000
1785142557.704510927,8,191.843750,6209.000
1785142557.704510927,15,208.421875,4141.000
1785142557.704510927,8,210.093750,4073.250
1785142557.704510927,5,226.718750,2730.500
1785142557.704510927,15,230.000000,3028.000
1785142557.704510927,15,231.656250,2994.250
1785142557.704510927,10,233.328125,2937.750
1785142557.704510927,9,234.984375,2892.750
1785142557.704510927,15,236.640625,2857.250
1785142557.704510927,10,238.296875,2803.750
1785142557.704510927,15,241.593750,2711.250
1785142557.704510927,15,243.265625,2723.750
1785142557.704510927,15,244.921875,2696.750
1785142557.704510927,10,246.546875,2674.500
1785142557.704510927,10,248.203125,2661.500
1785142557.704510927,12,249.875000,2652.750
1785142557.704510927,14,251.562500,2643.750
1785142557.704510927,15,253.218750,2636.500
1785142557.704510927,12,254.875000,2624.500
1785142557.704510927,15,256.546875,2605.000
1785142557.704510927,15,258.187500,2602.250
1785142557.704510927,11,259.859375,2620.250
1785142557.704510927,14,261.500000,2633.250
1785142557.704510927,12,263.140625,2634.000
1785142557.704510927,13,264.828125,2629.500
1785142557.704510927,12,266.468750,2626.750
1785142557.704510927,13,268.093750,2633.250
1785142557.704510927,14,269.734375,2643.500
1785142557.704510927,12,271.421875,2648.750
1785142557.704510927,11,273.046875,2662.500
1785142557.704510927,15,274.671875,2692.250
1785142557.704510927,11,276.296875,2730.500
1785142557.704510927,9,277.968750,2754.000
1785142557.704510927,9,279.609375,2781.500
1785142557.704510927,15,281.234375,2826.500
1785142557.704510927,7,282.890625,2875.000
1785142557.704510927,15,334.171875,3447.500
1785142557.704510927,14,335.812500,3517.500
1785142557.704510927,15,337.484375,3533.000
1785142557.704510927,15,339.140625,3523.250
1785142557.704510927,15,340.796875,3534.000
1785142557.704510927,15,342.437500,3551.750
1785142557.704510927,14,345.718750,3630.500
1785142559.151877165,15,353.421875,1007.250
1785142559.151877165,15,355.031250,1010.750
1785142559.151877165,15,4.296875,1971.750
1785142559.151877165,15,5.890625,2001.500
1785142559.151877165,15,7.562500,2050.750
1785142559.151877165,15,21.359375,1022.250
1785142559.151877165,15,23.078125,1007.000
1785142559.151877165,15,24.734375,1002.250
1785142559.151877165,15,26.296875,1004.000
1785142559.151877165,15,46.468750,106.500
1785142559.151877165,11,160.406250,10294.500
1785142559.151877165,15,162.078125,10217.000
1785142559.151877165,7,168.671875,10269.250
1785142559.151877165,15,176.937500,10451.000
1785142559.151877165,7,191.906250,6203.500
1785142559.151877165,15,208.500000,4140.000
1785142559.151877165,9,210.140625,4047.750
1785142559.151877165,15,211.812500,3950.750
1785142559.151877165,15,230.062500,3024.500
