timestamp,quality,angle_deg,distance_mm
1785155178.744433880,15,2.421875,724.750
1785155178.744433880,15,3.906250,715.750
1785155178.744433880,15,5.546875,721.750
1785155178.744433880,15,10.296875,6769.750
1785155178.744433880,15,11.921875,6813.750
1785155178.744433880,15,46.406250,106.500
1785155178.744433880,15,50.765625,101.500
1785155178.744433880,15,170.437500,3309.000
1785155178.744433880,15,199.812500,4256.250
1785155178.744433880,15,211.218750,4013.250
1785155178.744433880,15,214.500000,3755.500
1785155178.744433880,14,221.093750,3235.250
1785155178.744433880,14,224.390625,3045.750
1785155178.744433880,14,230.937500,2710.500
1785155178.744433880,15,232.578125,2666.500
1785155178.744433880,15,234.250000,2611.250
1785155178.744433880,15,235.875000,2561.750
1785155178.744433880,15,237.515625,2518.500
1785155178.744433880,15,239.156250,2481.500
1785155178.744433880,15,240.796875,2450.250
1785155178.744433880,15,242.421875,2408.250
1785155178.744433880,14,244.093750,2363.000
1785155178.744433880,14,245.734375,2333.250
1785155178.744433880,15,247.343750,2314.000
1785155178.744433880,15,249.015625,2287.500
1785155178.744433880,15,250.671875,2260.750
1785155178.744433880,15,252.265625,2245.500
1785155178.744433880,11,253.921875,2237.000
1785155178.744433880,13,284.906250,2233.250
1785155178.744433880,15,286.500000,2244.000
1785155178.744433880,15,288.156250,2261.750
1785155178.744433880,15,289.781250,2272.000
1785155178.744433880,11,291.421875,2298.000
1785155178.744433880,12,293.046875,2324.500
1785155178.744433880,13,294.640625,2351.750
1785155178.744433880,15,296.250000,2381.500
1785155178.744433880,12,297.875000,2415.500
1785155178.744433880,14,299.593750,2452.500
1785155178.744433880,15,301.218750,2487.000
1785155178.744433880,11,302.843750,2521.500
1785155178.744433880,13,304.468750,2552.000
1785155178.744433880,15,306.109375,2601.500
1785155178.744433880,14,307.718750,2651.000
1785155178.744433880,11,309.343750,2682.000
1785155178.744433880,13,310.968750,2731.250
1785155178.744433880,12,314.218750,2902.250
1785155178.744433880,15,315.828125,2975.000
1785155178.744433880,12,317.453125,3052.000
1785155178.744433880,12,319.062500,3128.500
1785155178.744433880,10,320.718750,3204.750
1785155178.744433880,15,323.984375,3409.750
1785155178.744433880,15,327.250000,3643.250
1785155178.744433880,15,347.812500,500.250
1785155178.744433880,15,349.609375,496.000
1785155178.744433880,15,351.093750,498.500
1785155178.859627008,15,358.203125,7077.500
1785155178.859627008,15,3.265625,717.500
1785155178.859627008,15,4.859375,718.750
1785155178.859627008,15,6.578125,733.000
1785155178.859627008,15,12.875000,6855.250
1785155178.859627008,15,46.593750,108.000
1785155178.859627008,15,48.546875,105.500
1785155178.859627008,15,172.984375,3364.000
1785155178.859627008,15,186.000000,4361.000
1785155178.859627008,11,210.468750,4100.500
1785155178.859627008,15,222.015625,3199.750
1785155178.859627008,15,223.671875,3111.750
1785155178.859627008,15,225.296875,3025.500
1785155178.859627008,15,228.593750,2837.750
1785155178.859627008,15,230.203125,2761.000
1785155178.859627008,14,231.843750,2700.250
1785155178.859627008,15,233.500000,2635.250
1785155178.859627008,14,235.140625,2579.500
1785155178.859627008,15,236.781250,2546.250
1785155178.859627008,11,238.406250,2500.750
1785155178.859627008,15,240.062500,2462.500
1785155178.859627008,15,241.687500,2437.250
1785155178.859627008,11,243.343750,2392.750
1785155178.859627008,15,244.984375,2348.750
1785155178.859627008,13,246.640625,2324.750
1785155178.859627008,15,248.250000,2300.000
1785155178.859627008,15,249.875000,2274.500
1785155178.859627008,15,251.562500,2260.250
1785155178.859627008,15,253.218750,2248.500
1785155178.859627008,8,254.859375,2233.000
1785155178.859627008,8,284.187500,2230.250
1785155178.859627008,15,285.812500,2237.500
1785155178.859627008,15,287.437500,2245.500
1785155178.859627008,15,289.078125,2262.500
1785155178.859627008,15,290.671875,2292.000
1785155178.859627008,13,292.312500,2322.000
1785155178.859627008,14,293.953125,2340.000
1785155178.859627008,14,295.546875,2365.000
1785155178.859627008,14,297.156250,2401.750
1785155178.859627008,15,298.843750,2436.750
1785155178.859627008,11,300.484375,2470.750
1785155178.859627008,15,302.125000,2503.250
1785155178.859627008,15,303.718750,2538.750
1785155178.859627008,15,305.359375,2580.250
1785155178.859627008,15,306.984375,2619.750
1785155178.859627008,11,308.609375,2658.750
1785155178.859627008,15,310.234375,2722.000
1785155178.859627008,15,311.875000,2791.250
1785155178.859627008,11,313.484375,2856.500
1785155178.859627008,9,315.078125,2922.000
1785155178.859627008,14,316.703125,2993.250
1785155178.859627008,10,318.328125,3069.250
1785155178.859627008,6,323.265625,3341.000
1785155178.859627008,15,328.140625,3688.000
1785155178.859627008,15,347.046875,505.250
1785155178.859627008,15,348.765625,498.000
1785155178.859627008,15,350.359375,496.000
1785155178.970623970,15,2.500000,724.000
1785155178.970623970,15,4.187500,717.000
1785155178.970623970,15,5.734375,723.000
1785155178.970623970,15,46.140625,106.500
1785155178.970623970,15,51.343750,101.250
1785155178.970623970,13,173.796875,3401.750
1785155178.970623970,15,198.234375,4188.500
1785155178.970623970,15,199.859375,4202.750
1785155178.970623970,15,211.265625,4054.000
1785155178.970623970,14,221.125000,3235.250
1785155178.970623970,15,224.421875,3041.750
1785155178.970623970,15,229.390625,2768.750
1785155178.970623970,15,231.015625,2711.500
1785155178.970623970,13,232.640625,2663.250
1785155178.970623970,14,234.296875,2604.250
1785155178.970623970,14,235.921875,2555.750
1785155178.970623970,15,237.578125,2514.500
1785155178.970623970,14,239.218750,2471.250
1785155178.970623970,15,240.859375,2441.250
1785155178.970623970,15,242.500000,2408.250
1785155178.970623970,15,244.156250,2364.000
1785155178.970623970,14,245.781250,2334.000
1785155178.970623970,13,247.421875,2313.500
1785155178.970623970,15,249.031250,2287.750
1785155178.970623970,15,250.718750,2263.500
1785155178.970623970,15,252.343750,2248.000
1785155178.970623970,12,253.968750,2237.000
1785155178.970623970,13,268.687500,2091.750
1785155178.970623970,9,270.375000,2090.750
1785155178.970623970,9,271.953125,2093.750
1785155178.970623970,8,273.625000,2098.000
1785155178.970623970,15,289.703125,2257.250
1785155178.970623970,15,291.359375,2269.250
1785155178.970623970,12,292.984375,2307.250
1785155178.970623970,12,294.593750,2345.250
1785155178.970623970,15,296.187500,2375.250
1785155178.970623970,15,297.812500,2414.500
1785155178.970623970,15,299.562500,2452.000
1785155178.970623970,15,301.156250,2486.500
1785155178.970623970,14,302.796875,2522.250
1785155178.970623970,15,304.406250,2564.500
