elapsed_s,lidar_timestamp,state,reason,speed,steering,pair_valid,car_count,gap_width_mm,car1_x_mm,car1_y_back_mm,car2_x_mm,car2_y_back_mm,entrance_x_mm,entrance_y_back_mm,depth_x,depth_y_back,decision_angle_deg,heading_error_deg,lateral_error_mm,depth_progress_mm,depth_remaining_mm,target_x_mm,target_y_back_mm,curvature_per_mm,geometric_steering,physical_steering,clusters
0.000647,0.000000000,idle,waiting_for_start,0,0,0,0,,,,,,,,,,,,,,,,,,,,
0.459870,1785155415.044554949,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,12:-261.9:347.8:1240.6:1364.6|18:-2194.0:-762.1:2023.7:2137.2|13:766.6:1745.2:2133.7:2158.6
0.594562,1785155415.156356096,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,23:-261.9:364.8:1240.6:1377.8|35:-2194.0:-762.1:2023.7:2138.2|30:720.4:2575.1:2133.7:2181.2
0.692387,1785155415.270967007,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,25:-250.4:376.6:1241.0:1377.8|35:-2155.4:-719.4:2024.3:2140.3|32:720.4:2575.1:2136.5:2181.2
0.799371,1785155415.381299019,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,26:-264.4:376.6:1240.4:1375.4|35:-2121.6:-719.4:2026.6:2141.1|31:738.7:2366.0:2135.3:2177.5
0.938182,1785155415.496867180,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,25:-264.4:358.1:1236.1:1376.9|33:-2093.4:-766.1:2032.3:2141.1|30:709.2:2390.6:2135.3:2177.5
1.032261,1785155415.607976913,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,27:-252.9:374.5:1236.1:1376.9|34:-2126.2:-719.4:2024.3:2140.3|31:709.2:2390.6:2139.3:2167.9
1.165161,1785155415.722710133,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,26:-268.0:374.5:1239.3:1375.2|35:-2126.2:-719.4:2024.3:2140.3|30:735.4:2348.1:2136.7:2173.1
1.263613,1785155415.834769011,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,24:-268.0:351.1:1239.3:1370.0|35:-2193.2:-760.7:2021.9:2140.1|31:702.1:2378.6:2136.7:2174.8
1.361979,1785155415.945379019,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,25:-261.6:358.5:1236.4:1376.8|34:-2193.2:-760.7:2021.9:2139.0|28:702.1:1768.0:2137.0:2159.7|4:2118.6:2388.1:2169.3:2174.8
