timestamp,quality,angle_deg,distance_mm
1785156605.846546888,15,352.500000,7392.750
1785156605.846546888,15,355.796875,7047.000
1785156605.846546888,15,357.453125,7025.000
1785156605.846546888,15,359.078125,7007.250
1785156605.846546888,15,0.718750,7016.250
1785156605.846546888,15,2.343750,7072.250
1785156605.846546888,15,5.640625,6738.000
1785156605.846546888,15,7.265625,6742.750
1785156605.846546888,15,8.906250,6737.250
1785156605.846546888,15,10.531250,6752.500
1785156605.846546888,15,12.171875,6808.250
1785156605.846546888,15,13.796875,6879.750
1785156605.846546888,15,47.296875,106.250
1785156605.846546888,15,162.593750,10412.500
1785156605.846546888,7,175.703125,10278.750
1785156605.846546888,15,218.578125,3378.250
1785156605.846546888,14,225.187500,2942.500
1785156605.846546888,15,228.484375,2775.250
1785156605.846546888,13,230.093750,2713.250
1785156605.846546888,4,233.421875,2566.750
1785156605.846546888,11,235.062500,2521.000
1785156605.846546888,7,236.687500,2478.750
1785156605.846546888,14,238.343750,2448.500
1785156605.846546888,12,259.687500,2082.750
1785156605.846546888,15,262.968750,2055.000
1785156605.846546888,12,266.250000,2022.000
1785156605.846546888,14,267.890625,2003.500
1785156605.846546888,15,269.531250,2007.250
1785156605.846546888,15,271.140625,2020.250
1785156605.846546888,15,272.812500,2027.250
1785156605.846546888,15,274.406250,2029.500
1785156605.846546888,15,276.078125,2034.500
1785156605.846546888,15,277.687500,2042.250
1785156605.846546888,15,279.296875,2054.750
1785156605.846546888,15,280.968750,2060.250
1785156605.846546888,12,282.578125,2072.500
1785156605.846546888,9,284.203125,2093.500
1785156605.846546888,15,295.609375,2226.500
1785156605.846546888,15,297.234375,2255.250
1785156605.846546888,15,298.984375,2277.750
1785156605.846546888,15,300.609375,2296.750
1785156605.846546888,12,302.218750,2321.750
1785156605.846546888,15,303.859375,2371.250
1785156605.846546888,15,305.500000,2415.250
1785156605.846546888,11,307.140625,2444.750
1785156605.846546888,15,308.781250,2481.500
1785156605.846546888,15,310.390625,2525.250
1785156605.846546888,15,312.046875,2576.750
1785156605.846546888,11,313.656250,2631.250
1785156605.846546888,8,316.937500,2772.500
1785156605.846546888,15,320.171875,2937.250
1785156605.846546888,13,321.812500,3022.500
1785156605.846546888,9,325.062500,3205.500
1785156605.846546888,9,329.937500,3536.250
1785156606.071476936,15,352.781250,7360.250
1785156606.071476936,15,356.062500,7033.000
1785156606.071476936,15,357.703125,7016.250
1785156606.071476936,15,359.359375,7012.750
1785156606.071476936,15,0.984375,6986.500
1785156606.071476936,14,2.640625,6929.500
1785156606.071476936,15,4.281250,6807.000
1785156606.071476936,15,5.921875,6731.250
1785156606.071476936,15,7.562500,6768.500
1785156606.071476936,15,9.203125,6779.250
1785156606.071476936,15,10.796875,6793.750
1785156606.071476936,15,12.437500,6832.000
1785156606.071476936,15,14.093750,6866.000
1785156606.071476936,15,46.421875,106.250
1785156606.071476936,15,212.140625,3945.000
1785156606.071476936,15,218.750000,3365.500
1785156606.071476936,13,223.687500,3006.500
1785156606.071476936,6,225.359375,2933.750
1785156606.071476936,15,228.640625,2765.250
1785156606.071476936,15,231.921875,2617.000
1785156606.071476936,5,233.562500,2567.500
1785156606.071476936,12,235.218750,2516.000
1785156606.071476936,8,236.859375,2474.500
1785156606.071476936,10,238.531250,2436.500
1785156606.071476936,15,245.093750,2269.500
1785156606.071476936,15,268.093750,2045.000
1785156606.071476936,15,269.718750,2021.250
1785156606.071476936,15,271.359375,2016.000
1785156606.071476936,15,273.000000,2021.500
1785156606.071476936,15,274.625000,2032.750
1785156606.071476936,15,276.265625,2040.500
1785156606.071476936,15,277.859375,2052.000
1785156606.071476936,15,279.515625,2059.250
1785156606.071476936,15,281.140625,2066.000
1785156606.071476936,9,282.765625,2080.000
1785156606.071476936,10,284.406250,2092.500
1785156606.071476936,15,295.843750,2238.500
1785156606.071476936,15,297.421875,2258.000
1785156606.071476936,15,299.140625,2275.500
1785156606.071476936,9,300.765625,2303.750
1785156606.071476936,15,302.406250,2333.750
1785156606.071476936,15,304.062500,2365.500
1785156606.071476936,15,305.640625,2410.750
1785156606.071476936,12,307.296875,2448.500
1785156606.071476936,15,308.953125,2484.250
1785156606.071476936,15,310.578125,2531.750
1785156606.071476936,15,312.187500,2583.250
1785156606.071476936,12,313.796875,2637.250
1785156606.071476936,10,315.437500,2705.500
1785156606.071476936,15,317.062500,2788.750
1785156606.071476936,11,318.703125,2862.250
1785156606.071476936,8,321.921875,3059.000
1785156606.071476936,9,323.593750,3143.000
1785156606.071476936,15,325.250000,3223.750
1785156606.071476936,8,326.859375,3311.750
1785156606.071476936,15,330.125000,3581.000
1785156606.183442831,15,352.937500,7370.250
1785156606.183442831,15,356.234375,7036.750
1785156606.183442831,15,357.875000,6987.000
1785156606.183442831,15,359.515625,6960.000
1785156606.183442831,15,1.140625,6995.500
1785156606.183442831,15,2.796875,6936.250
1785156606.183442831,15,4.453125,6778.750
1785156606.183442831,15,6.093750,6718.250
1785156606.183442831,15,7.750000,6726.000
1785156606.183442831,15,9.390625,6735.500
1785156606.183442831,15,10.953125,6775.750
1785156606.183442831,15,12.593750,6849.250
1785156606.183442831,11,14.218750,6891.750
1785156606.183442831,15,46.875000,106.000
1785156606.183442831,15,161.390625,10513.750
1785156606.183442831,15,220.625000,3235.250
1785156606.183442831,15,223.906250,3009.500
1785156606.183442831,13,228.859375,2733.000
1785156606.183442831,11,232.156250,2582.250
1785156606.183442831,4,233.781250,2551.250
1785156606.183442831,11,235.453125,2507.750
1785156606.183442831,8,237.125000,2457.000
1785156606.183442831,10,238.718750,2410.250
1785156606.183442831,15,245.296875,2277.250
1785156606.183442831,15,269.953125,2019.500
1785156606.183442831,15,271.578125,2011.500
1785156606.183442831,15,273.218750,2018.000
1785156606.183442831,15,274.812500,2030.250
1785156606.183442831,15,276.484375,2038.750
1785156606.183442831,15,278.062500,2052.000
1785156606.183442831,15,279.703125,2064.000
1785156606.183442831,15,281.312500,2069.000
1785156606.183442831,10,282.984375,2078.000
1785156606.183442831,15,297.625000,2257.750
1785156606.183442831,15,299.312500,2268.000
1785156606.183442831,10,300.937500,2297.000
1785156606.183442831,9,302.562500,2338.500
1785156606.183442831,15,304.203125,2371.500
1785156606.183442831,15,305.828125,2412.000
1785156606.183442831,11,307.468750,2451.000
1785156606.183442831,15,309.093750,2490.750
1785156606.183442831,15,310.718750,2539.250
1785156606.183442831,14,312.343750,2593.750
1785156606.183442831,11,313.984375,2654.500
1785156606.183442831,12,315.609375,2717.250
1785156606.183442831,10,318.859375,2872.000
1785156606.183442831,11,322.093750,3062.250
1785156606.183442831,11,323.781250,3146.000
1785156606.183442831,15,325.406250,3221.000
1785156606.298393011,15,353.062500,7367.750
1785156606.298393011,15,356.359375,7013.750
1785156606.298393011,15,357.984375,6961.000
1785156606.298393011,15,359.640625,6960.000
1785156606.298393011,15,1.265625,6983.750
1785156606.298393011,15,2.921875,6914.250
1785156606.298393011,15,4.562500,6777.000
1785156606.298393011,15,6.203125,6717.500
1785156606.298393011,15,7.828125,6733.000
1785156606.298393011,15,9.484375,6754.250
1785156606.298393011,15,11.046875,6790.250
1785156606.298393011,15,12.671875,6850.250
1785156606.298393011,15,47.281250,106.000
1785156606.298393011,15,161.437500,10528.750
1785156606.298393011,10,179.468750,10347.750
1785156606.298393011,15,220.609375,3210.250
1785156606.298393011,15,223.921875,3006.250
1785156606.298393011,14,228.906250,2723.750
1785156606.298393011,10,232.187500,2581.250
1785156606.298393011,9,233.843750,2550.750
1785156606.298393011,15,235.500000,2504.750
1785156606.298393011,7,237.156250,2455.250
1785156606.298393011,13,238.781250,2409.750
1785156606.298393011,15,245.375000,2273.500
1785156606.298393011,15,268.390625,2011.750
1785156606.298393011,13,270.015625,2018.000
1785156606.298393011,12,271.656250,2011.250
1785156606.298393011,15,274.875000,2018.500
1785156606.298393011,15,276.500000,2038.500
1785156606.298393011,15,278.156250,2051.250
1785156606.298393011,15,279.765625,2063.750
1785156606.298393011,15,281.421875,2069.750
1785156606.298393011,15,297.671875,2258.250
1785156606.298393011,15,299.406250,2276.000
1785156606.298393011,11,301.015625,2303.250
1785156606.298393011,10,302.656250,2337.750
1785156606.298393011,15,304.281250,2374.250
1785156606.298393011,15,305.906250,2414.500
1785156606.298393011,9,307.546875,2452.000
1785156606.298393011,15,309.187500,2493.500
1785156606.298393011,15,310.812500,2538.750
1785156606.298393011,14,312.421875,2600.000
1785156606.298393011,10,314.078125,2657.250
1785156606.298393011,14,315.687500,2714.750
1785156606.298393011,15,317.296875,2799.250
1785156606.298393011,11,318.937500,2874.000
1785156606.298393011,13,322.171875,3063.750
1785156606.298393011,12,323.890625,3147.250
1785156606.298393011,15,325.531250,3220.250
1785156606.409800053,15,353.171875,7366.750
1785156606.409800053,15,356.453125,7011.000
1785156606.409800053,15,358.093750,7007.000
1785156606.409800053,15,359.734375,7002.000
1785156606.409800053,15,1.375000,6971.000
1785156606.409800053,15,3.015625,6892.500
1785156606.409800053,15,4.671875,6767.000
1785156606.409800053,15,6.312500,6724.000
1785156606.409800053,15,7.937500,6739.500
1785156606.409800053,15,9.593750,6755.250
1785156606.409800053,15,11.140625,6779.250
1785156606.409800053,15,12.796875,6840.500
1785156606.409800053,15,48.343750,106.000
1785156606.409800053,15,161.593750,10514.250
1785156606.409800053,15,220.781250,3222.250
1785156606.409800053,11,224.062500,2991.000
1785156606.409800053,6,229.046875,2722.000
1785156606.409800053,14,232.343750,2582.000
1785156606.409800053,9,234.000000,2554.750
1785156606.409800053,10,235.609375,2509.250
1785156606.409800053,5,237.296875,2462.750
1785156606.409800053,15,238.937500,2422.000
1785156606.409800053,11,240.562500,2398.000
1785156606.409800053,15,245.546875,2274.500
1785156606.409800053,14,266.812500,2020.500
1785156606.409800053,15,268.468750,2011.500
1785156606.409800053,13,270.093750,2016.500
1785156606.409800053,15,271.750000,2018.750
1785156606.409800053,15,273.359375,2025.250
