elapsed_s,lidar_timestamp,state,reason,speed,steering,pair_valid,car_count,gap_width_mm,car1_x_mm,car1_y_back_mm,car2_x_mm,car2_y_back_mm,entrance_x_mm,entrance_y_back_mm,depth_x,depth_y_back,decision_angle_deg,heading_error_deg,lateral_error_mm,depth_progress_mm,depth_remaining_mm,target_x_mm,target_y_back_mm,curvature_per_mm,geometric_steering,physical_steering,clusters
0.000818,1785155201.418262005,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,22:-2192.5:-483.3:2058.0:2168.8|18:583.7:2227.5:2121.1:2164.2
0.155953,1785155201.643930912,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,44:-2192.5:-481.0:2058.0:2169.6|37:583.7:2379.4:2121.1:2164.2
0.278909,1785155201.757820845,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,43:-2187.4:-481.0:2062.2:2169.6|38:557.5:2616.8:2111.3:2163.5
0.370040,1785155201.869945049,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,44:-2182.4:-412.5:2064.2:2175.7|39:525.4:2616.8:2111.3:2162.8
0.495967,1785155201.984934807,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,45:-2182.4:-412.5:2064.2:2175.7|40:525.4:2623.1:2110.4:2168.3
0.600527,1785155202.095270872,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,44:-2165.4:-440.0:2065.0:2174.7|38:536.5:2623.1:2110.4:2168.3
0.700539,1785155202.210138798,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,44:-2165.4:-432.1:2065.0:2178.3|38:536.5:2629.5:2118.8:2165.7
0.834868,1785155202.321595907,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,43:-2150.0:-432.1:2064.9:2178.3|39:548.7:2629.5:2116.5:2165.7
0.934924,1785155202.432873011,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,42:-2150.0:-431.0:2064.9:2179.0|37:548.7:2426.2:2116.5:2165.6
1.062825,1785155202.548165798,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,42:-2147.6:-431.0:2064.9:2179.0|38:541.3:2552.5:2112.3:2164.7
1.164328,1785155202.659605980,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,42:-2192.1:-522.5:2055.4:2164.2|38:541.3:2552.5:2112.3:2163.6
1.261601,1785155202.774204969,idle,waiting_for_start,0,0,0,2,,,,,,,,,,,,,,,,,,,,42:-2192.1:-513.7:2055.4:2168.5|37:553.8:2438.3:2115.2:2165.8
