elapsed_s,lidar_timestamp,state,reason,speed,steering,pair_valid,car_count,gap_width_mm,car1_x_mm,car1_y_back_mm,car2_x_mm,car2_y_back_mm,entrance_x_mm,entrance_y_back_mm,depth_x,depth_y_back,decision_angle_deg,heading_error_deg,lateral_error_mm,depth_progress_mm,depth_remaining_mm,target_x_mm,target_y_back_mm,curvature_per_mm,geometric_steering,physical_steering,clusters
0.004217,1785156634.876227140,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,11:-2018.9:-1162.8:1886.7:1965.5|6:-391.7:17.5:2002.4:2023.4|6:1285.9:1961.8:2061.4:2083.2
0.189030,1785156635.101716042,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,20:-2018.9:-1162.8:1886.7:1965.5|11:-391.7:28.5:2002.4:2023.4|14:917.8:1997.7:2049.5:2092.5
0.275702,1785156635.213342905,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,20:-2150.2:-1173.6:1884.6:1962.9|11:-399.9:28.5:2007.3:2022.8|19:917.8:2637.1:2049.5:2111.8
0.367397,1785156635.323474884,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,22:-2184.1:-1173.6:1871.6:1962.9|13:-399.9:44.1:2002.7:2024.1|19:956.9:2637.1:2049.4:2111.8
0.523087,1785156635.438446999,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,22:-2184.1:-1150.1:1871.6:1956.7|14:-383.7:139.0:2000.2:2024.1|16:1159.3:2427.0:2049.4:2108.6
0.594815,1785156635.549706936,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,24:-2169.6:-1116.4:1878.8:1971.9|15:-410.1:139.0:2000.2:2030.5|15:941.1:2158.8:2051.3:2088.2
0.728600,1785156635.661038160,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,24:-2169.6:-1116.4:1878.8:1971.9|16:-433.5:55.9:1997.0:2030.5|18:914.9:2388.0:2046.5:2102.3
0.827610,1785156635.776378155,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,22:-2008.2:-1136.9:1879.8:1960.5|15:-433.5:33.3:1997.0:2026.2|17:914.9:2388.0:2046.5:2102.3
0.927020,1785156635.887253046,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,23:-2155.3:-1155.8:1878.8:1955.1|14:-405.2:59.2:2004.7:2023.9|13:1282.0:2068.3:2060.5:2085.5
1.058306,1785156635.998928785,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,23:-2182.6:-1170.8:1875.5:1959.2|14:-405.2:59.2:2002.3:2026.0|16:1162.2:2631.4:2046.9:2121.4
1.157822,1785156636.112818003,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,20:-2182.6:-1194.7:1875.5:1959.2|13:-380.5:83.7:2002.3:2026.0|19:1133.3:2431.0:2046.9:2107.4
1.289047,1785156636.224453926,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,20:-2138.6:-1167.5:1879.7:1962.5|15:-395.5:83.7:2002.3:2022.7|19:960.0:2365.6:2059.2:2103.3
1.392372,1785156636.336616993,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,24:-2155.3:-1113.6:1874.6:1972.0|17:-409.1:68.9:2003.1:2024.4|17:945.3:2160.4:2048.1:2086.2
1.491233,1785156636.450845957,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,24:-2181.1:-1113.6:1874.6:1972.0|16:-409.1:58.1:2001.2:2026.7|14:945.3:1794.3:2040.7:2075.5|4:2147.8:2609.7:2086.2:2115.6
1.617197,1785156636.561751127,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,22:-2187.9:-1195.0:1868.6:1959.6|15:-370.5:48.1:2001.2:2026.7|18:919.3:2432.1:2040.7:2108.4
1.717500,1785156636.673671007,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,22:-2187.9:-1137.3:1868.6:1959.9|14:-375.0:37.7:1997.1:2026.7|19:919.3:2246.4:2048.2:2102.1
1.851471,1785156636.788594007,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,22:-1998.8:-1137.3:1886.4:1961.5|15:-380.8:200.8:1997.1:2050.4|17:920.2:2246.4:2048.2:2102.1
1.950490,1785156636.899049044,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,21:-2004.1:-1146.1:1889.4:1961.5|14:-383.3:200.8:2003.2:2050.4|14:1209.6:2087.0:2059.7:2086.3
2.049338,1785156637.010612011,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,21:-2008.9:-1161.4:1879.5:1963.2|15:-390.0:80.3:2001.6:2023.1|14:1209.6:2087.0:2062.2:2086.4
2.183695,1785156637.125730991,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,23:-2154.9:-1161.4:1874.3:1963.2|16:-406.1:74.8:2001.6:2025.8|14:950.9:2070.4:2060.3:2086.4
2.281856,1785156637.236725092,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,23:-2177.5:-1180.8:1874.3:1962.7|14:-406.1:47.6:2002.4:2027.3|17:950.9:2616.0:2041.4:2110.2
2.411511,1785156637.348629951,idle,waiting_for_start,0,0,0,4,,,,,,,,,,,,,,,,,,,,22:-2187.2:-1193.1:1869.1:1960.2|13:-359.2:47.6:2002.4:2027.3|13:1165.7:1779.5:2041.4:2076.1|3:2140.9:2431.5:2092.5:2110.2
2.511101,1785156637.462836027,idle,waiting_for_start,0,0,0,3,,,,,,,,,,,,,,,,,,,,22:-2187.2:-1136.9:1869.1:1959.3|13:-375.6:37.7:1996.3:2026.7|16:918.5:2387.4:2047.8:2102.9
