elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,prealign_near_seen,prealign_ready_scans,pair_hold_scans,center_observation_scans,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000004,1785214277.525742054,idle,0,0,-27,press_SPACE_to_start,69,69,49,20,1,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.174847,1785214277.610173941,idle,0,0,-27,press_SPACE_to_start,72,72,51,21,1,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.269727,1785214277.722134113,idle,0,0,-27,press_SPACE_to_start,72,72,49,23,1,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.359341,1785214277.837104797,idle,0,0,-27,press_SPACE_to_start,70,70,47,23,1,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.446161,1785214277.948137045,idle,0,0,-27,press_SPACE_to_start,69,69,51,18,1,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.496749,1785214277.948137045,idle,0,0,-27,press_SPACE_to_start,69,69,51,18,1,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.583852,1785214278.059144020,idle,0,0,-27,press_SPACE_to_start,70,70,48,22,1,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.672023,1785214278.170892000,idle,0,0,-27,press_SPACE_to_start,70,70,49,21,1,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.764397,1785214278.281680822,idle,0,0,-27,press_SPACE_to_start,73,73,53,20,1,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.852262,1785214278.281680822,idle,0,0,-27,press_SPACE_to_start,73,73,53,20,1,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.940146,1785214278.393974066,idle,0,0,-27,press_SPACE_to_start,73,73,51,22,1,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
1.028631,1785214278.508032084,idle,0,0,-27,press_SPACE_to_start,73,73,49,24,1,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
1.112628,1785214278.619247198,idle,0,0,-27,press_SPACE_to_start,72,72,51,21,1,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
1.199101,1785214278.619247198,idle,0,0,-27,press_SPACE_to_start,72,72,51,21,1,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
1.292388,1785214278.730460882,idle,0,0,-27,press_SPACE_to_start,74,74,52,22,1,0,0,0,0,0,0,12,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
1.380803,1785214278.841742039,idle,0,0,-27,press_SPACE_to_start,73,73,51,22,1,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
1.468773,1785214278.953737974,idle,0,0,-27,press_SPACE_to_start,71,71,48,23,1,0,0,0,0,0,0,14,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
